clock, x_dist, x_vel, x_accel, y_dist, y_vel, y_accel, z_dist, z_vel, z_accel, temperature, gyro_x, gyro_y, gyro_z,undef,undef,undef,undef,undef,undef,undef,undef,undef,lat,lon
1.78,0.010712,0,0,0,0,0,0.014216,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.79,0.010772,0,0,0,0,0,0.014296,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.8,0.010833,0,0,0,0,0,0.014375,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.81,0.010893,0,0,0,0,0,0.014455,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.82,0.010953,0,0,0,0,0,0.014535,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.83,0.011013,0,0,0,0,0,0.014615,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.84,0.011073,0,0,0,0,0,0.014695,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.85,0.011134,0,0,0,0,0,0.014775,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.86,0.011194,0,0,0,0,0,0.014855,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.87,0.011254,0,0,0,0,0,0.014934,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.88,0.011314,0,0,0,0,0,0.015014,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.89,0.011374,0,0,0,0,0,0.015094,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.9,0.011434,0,0,0,0,0,0.015174,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.91,0.011495,0,0,0,0,0,0.015254,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.92,0.011555,0,0,0,0,0,0.015334,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.93,0.011615,0,0,0,0,0,0.015414,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.94,0.011675,0,0,0,0,0,0.015494,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.95,0.011735,0,0,0,0,0,0.015573,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.96,0.011796,0,0,0,0,0,0.015653,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
